run_id,phase,block_id,sample_id,weight_tensor,weight_layer,weight_block_index,weight_flat_start,weight_raw_rms,weight_normalization,method,mse,sqnr_bits,quantize_seconds,dequantize_seconds,original_vector,dequantized_vector,batch_n,dim,seed
seed0_llm_weight_blocks,final,3,3,model.layers.12.mlp.down_proj.weight,12,24723,593352,0.010517337129462357,block_rms,QTIP bitshift (gpu),0.1870656157427976,1.209191807557879,0.00853693502722308,8.826499106362462e-05,"[-0.184254452586174,-0.37721383571624756,2.356135606765747,-0.818263828754425,0.28726285696029663,-0.49618127942085266,0.08342228829860687,0.4526565968990326,0.6470668315887451,-0.6586734056472778,-1.4798388481140137,0.19150856137275696,0.934329628944397,0.46136152744293213,-0.18860691785812378,-1.439215898513794,0.16321752965450287,-1.4624290466308594,0.426541805267334,-2.135610580444336,-1.4624290466308594,0.6267552971839905,-0.9575428366661072,0.6586734056472778]","[-0.2929880917072296,-0.7308942079544067,1.0863057374954224,0.024481236934661865,0.6083298325538635,-0.9240337014198303,-0.0931539535522461,0.044076092541217804,0.7830567955970764,-0.527773916721344,-1.8356715440750122,0.0931539535522461,1.0516313314437866,-0.024481236934661865,0.35491102933883667,-1.7390198707580566,0.35491102933883667,-1.7852624654769897,0.2726057767868042,-2.2065751552581787,-0.7830567955970764,0.6930450797080994,-0.756718099117279,0.9091304540634155]",1,24,0
seed0_llm_weight_blocks,final,3,3,model.layers.12.mlp.down_proj.weight,12,24723,593352,0.010517337129462357,block_rms,Uniform scalar 2-bit (gpu),0.18561871014987022,1.214792939310925,7.873799768276513e-05,4.420298500917852e-05,"[-0.184254452586174,-0.37721383571624756,2.356135606765747,-0.818263828754425,0.28726285696029663,-0.49618127942085266,0.08342228829860687,0.4526565968990326,0.6470668315887451,-0.6586734056472778,-1.4798388481140137,0.19150856137275696,0.934329628944397,0.46136152744293213,-0.18860691785812378,-1.439215898513794,0.16321752965450287,-1.4624290466308594,0.426541805267334,-2.135610580444336,-1.4624290466308594,0.6267552971839905,-0.9575428366661072,0.6586734056472778]","[0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-2.0,-1.0,1.0,-1.0,1.0]",1,24,0
seed0_llm_weight_blocks,final,4,4,model.layers.18.mlp.down_proj.weight,18,36381,873144,0.019111639455564603,block_rms,Leech Lattice Vector Quantization (gpu),0.07514338057056073,1.8671051170134398,0.0016300819988828152,0.0001715620164759457,"[-0.1596805900335312,0.1668662130832672,0.29381227493286133,-2.554889440536499,-0.8495007753372192,-0.40878230333328247,-0.09580835700035095,-0.3097803592681885,-0.05389219895005226,-2.7209572792053223,0.718562662601471,0.7441115379333496,-0.48862260580062866,-0.5429140329360962,1.4882230758666992,0.7377243638038635,0.007185626775026321,-1.296606421470642,-1.0283429622650146,-0.9197602272033691,-0.5876245498657227,-0.46307373046875,0.4247503876686096,0.4950098395347595]","[-0.3535533845424652,0.3535533845424652,-0.3535533845424652,-2.4748737812042236,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-2.4748737812042236,1.0606601238250732,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,1.7677669525146484,0.3535533845424652,0.3535533845424652,-1.0606601238250732,-1.0606601238250732,-1.0606601238250732,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652]",1,24,0
seed0_llm_weight_blocks,final,4,4,model.layers.18.mlp.down_proj.weight,18,36381,873144,0.019111639455564603,block_rms,QTIP bitshift (gpu),0.10851033437931423,1.6020478556844229,0.008483746001729742,8.868600707501173e-05,"[-0.1596805900335312,0.1668662130832672,0.29381227493286133,-2.554889440536499,-0.8495007753372192,-0.40878230333328247,-0.09580835700035095,-0.3097803592681885,-0.05389219895005226,-2.7209572792053223,0.718562662601471,0.7441115379333496,-0.48862260580062866,-0.5429140329360962,1.4882230758666992,0.7377243638038635,0.007185626775026321,-1.296606421470642,-1.0283429622650146,-0.9197602272033691,-0.5876245498657227,-0.46307373046875,0.4247503876686096,0.4950098395347595]","[-0.11284144967794418,-0.044076092541217804,0.25233614444732666,-2.335232973098755,-0.9391450881958008,-0.13257279992103577,-0.11284144967794418,-0.034277018159627914,0.33413028717041016,-1.8356715440750122,0.06368788331747055,0.9091304540634155,-0.28278225660324097,-0.6930450797080994,1.6563239097595215,0.8514286875724792,-0.40756407380104065,-1.1991522312164307,-1.159889578819275,-0.9858254790306091,-0.33413028717041016,-0.8944265246391296,0.07350250333547592,1.0181772708892822]",1,24,0
seed0_llm_weight_blocks,final,4,4,model.layers.18.mlp.down_proj.weight,18,36381,873144,0.019111639455564603,block_rms,Uniform scalar 2-bit (gpu),0.12791137504715264,1.4833917966964598,7.890799315646291e-05,4.401299520395696e-05,"[-0.1596805900335312,0.1668662130832672,0.29381227493286133,-2.554889440536499,-0.8495007753372192,-0.40878230333328247,-0.09580835700035095,-0.3097803592681885,-0.05389219895005226,-2.7209572792053223,0.718562662601471,0.7441115379333496,-0.48862260580062866,-0.5429140329360962,1.4882230758666992,0.7377243638038635,0.007185626775026321,-1.296606421470642,-1.0283429622650146,-0.9197602272033691,-0.5876245498657227,-0.46307373046875,0.4247503876686096,0.4950098395347595]","[0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-2.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0]",1,24,0
seed0_llm_weight_blocks,final,5,5,model.layers.0.mlp.down_proj.weight,0,96950,2326800,0.022810659739553766,block_rms,Uniform scalar 2-bit (gpu),0.09071638070026561,1.7312465313421612,7.475100574083626e-05,4.386200453154743e-05,"[-1.118454933166504,0.610066294670105,-1.5626260042190552,-1.2897015810012817,0.610066294670105,0.3424933850765228,-0.1658952236175537,0.26757293939590454,-0.521767258644104,-0.30235743522644043,0.8348276019096375,-0.35854774713516235,-1.13986074924469,-1.519814372062683,0.6475265622138977,0.4120623469352722,0.9739655256271362,-0.9472082257270813,0.0426444374024868,-1.022128701210022,-0.8187732100486755,-1.5626260042190552,-0.9204509258270264,-2.3332362174987793]","[-1.0,1.0,-2.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-2.0,1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,-2.0,-1.0,-2.0]",1,24,0
seed0_llm_weight_blocks,final,5,5,model.layers.0.mlp.down_proj.weight,0,96950,2326800,0.022810659739553766,block_rms,QTIP bitshift (gpu),0.09565455579121003,1.6930112314354253,0.008221693016821519,8.971898932941258e-05,"[-1.118454933166504,0.610066294670105,-1.5626260042190552,-1.2897015810012817,0.610066294670105,0.3424933850765228,-0.1658952236175537,0.26757293939590454,-0.521767258644104,-0.30235743522644043,0.8348276019096375,-0.35854774713516235,-1.13986074924469,-1.519814372062683,0.6475265622138977,0.4120623469352722,0.9739655256271362,-0.9472082257270813,0.0426444374024868,-1.022128701210022,-0.8187732100486755,-1.5626260042190552,-0.9204509258270264,-2.3332362174987793]","[-0.8099502921104431,0.4722914695739746,-1.3064303398132324,-1.6189000606536865,1.0181772708892822,-0.1029927134513855,0.024481236934661865,0.632066011428833,-0.8944265246391296,0.06368788331747055,0.8236187100410461,-0.4396974444389343,-1.3064303398132324,-1.6189000606536865,1.0863057374954224,0.024481236934661865,0.5849315524101257,-0.9858254790306091,-0.37584614753723145,-1.0516313314437866,-0.5733522176742554,-2.1065540313720703,-0.5849315524101257,-2.2065751552581787]",1,24,0
seed0_llm_weight_blocks,final,5,5,model.layers.0.mlp.down_proj.weight,0,96950,2326800,0.022810659739553766,block_rms,Leech Lattice Vector Quantization (gpu),0.05413982658827585,2.1035829392681316,0.0011507710150908679,0.0002395200135651976,"[-1.118454933166504,0.610066294670105,-1.5626260042190552,-1.2897015810012817,0.610066294670105,0.3424933850765228,-0.1658952236175537,0.26757293939590454,-0.521767258644104,-0.30235743522644043,0.8348276019096375,-0.35854774713516235,-1.13986074924469,-1.519814372062683,0.6475265622138977,0.4120623469352722,0.9739655256271362,-0.9472082257270813,0.0426444374024868,-1.022128701210022,-0.8187732100486755,-1.5626260042190552,-0.9204509258270264,-2.3332362174987793]","[-1.0606601238250732,0.3535533845424652,-1.0606601238250732,-1.0606601238250732,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,1.0606601238250732,-0.3535533845424652,-1.0606601238250732,-1.7677669525146484,1.0606601238250732,0.3535533845424652,1.0606601238250732,-1.0606601238250732,0.3535533845424652,-1.0606601238250732,-1.0606601238250732,-1.7677669525146484,-1.0606601238250732,-2.4748737812042236]",1,24,0
seed0_llm_weight_blocks,final,6,6,model.layers.7.mlp.down_proj.weight,7,119251,2862024,0.02434610764072675,block_rms,Uniform scalar 2-bit (gpu),0.1455793221231188,1.3900613243865299,7.831701077520847e-05,4.441299824975431e-05,"[-1.7147729396820068,0.3534838855266571,0.5891398191452026,0.3509769141674042,0.9125400185585022,-1.0378888845443726,-0.2331489473581314,0.2807815372943878,0.7571073770523071,-0.40362346172332764,1.188307523727417,-0.46128395199775696,0.7119817733764648,-0.19805125892162323,-1.2936006784439087,-0.24568384885787964,-1.6746612787246704,-0.9576656222343445,0.4763258099555969,-0.25571176409721375,1.764912486076355,-1.5142147541046143,0.8072469234466553,1.9253591299057007]","[-2.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,-2.0,-1.0,0.0,0.0,1.0,-2.0,1.0,1.0]",1,24,0
seed0_llm_weight_blocks,final,6,6,model.layers.7.mlp.down_proj.weight,7,119251,2862024,0.02434610764072675,block_rms,QTIP bitshift (gpu),0.26279861931151116,0.9639852022372082,0.008329085016157478,8.652202086523175e-05,"[-1.7147729396820068,0.3534838855266571,0.5891398191452026,0.3509769141674042,0.9125400185585022,-1.0378888845443726,-0.2331489473581314,0.2807815372943878,0.7571073770523071,-0.40362346172332764,1.188307523727417,-0.46128395199775696,0.7119817733764648,-0.19805125892162323,-1.2936006784439087,-0.24568384885787964,-1.6746612787246704,-0.9576656222343445,0.4763258099555969,-0.25571176409721375,1.764912486076355,-1.5142147541046143,0.8072469234466553,1.9253591299057007]","[-1.8356715440750122,0.0931539535522461,1.0863057374954224,0.024481236934661865,0.6083298325538635,-0.9240337014198303,-0.1029927134513855,0.034277018159627914,0.6930450797080994,-0.7308942079544067,1.122338056564331,0.06368788331747055,0.879913330078125,-0.35491102933883667,-1.0018702745437622,-0.3863752782344818,-1.104142665863037,-0.7830567955970764,0.66835618019104,-0.7830567955970764,0.7181638479232788,-0.7181638479232788,1.2617708444595337,0.33413028717041016]",1,24,0
