block_id,method,rate_bpd,mse,sqnr_bits,quantize_seconds,dequantize_seconds,original_vector,dequantized_vector
3,Leech Lattice Vector Quantization (gpu),2.0,0.14580165805134426,-3.4217305541710035,0.0011128100013593212,0.0001446109963580966,"[-0.00469970703125,0.021484375,-0.01409912109375,0.043701171875,0.060791015625,0.0306396484375,0.034423828125,-0.0028839111328125,-0.01007080078125,-0.03369140625,-0.0400390625,0.10302734375,0.00089263916015625,0.035400390625,0.04638671875,0.03515625,0.00946044921875,-0.00970458984375,-0.03955078125,-0.0126953125,0.01708984375,-0.0208740234375,-0.0157470703125,-0.03271484375]","[-0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,1.0606601238250732,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652]"
3,QTIP bitshift (gpu),2.0,0.02395799552502827,-2.119016547875708,0.008299028995679691,8.688399975653738e-05,"[-0.00469970703125,0.021484375,-0.01409912109375,0.043701171875,0.060791015625,0.0306396484375,0.034423828125,-0.0028839111328125,-0.01007080078125,-0.03369140625,-0.0400390625,0.10302734375,0.00089263916015625,0.035400390625,0.04638671875,0.03515625,0.00946044921875,-0.00970458984375,-0.03955078125,-0.0126953125,0.01708984375,-0.0208740234375,-0.0157470703125,-0.03271484375]","[-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506]"
4,Leech Lattice Vector Quantization (gpu),2.0,0.15308743612194495,-4.088341152744413,0.0009096389985643327,0.00014304900832939893,"[0.03271484375,-0.003692626953125,-0.01373291015625,0.021484375,-0.01458740234375,0.004547119140625,0.00494384765625,0.031982421875,0.01068115234375,-0.001983642578125,-0.0142822265625,0.011962890625,-0.006103515625,-0.040771484375,-0.01513671875,-0.0390625,0.03564453125,-0.01385498046875,0.037841796875,0.021728515625,0.00897216796875,0.0108642578125,-0.01165771484375,-0.04541015625]","[0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,-0.3535533845424652,1.0606601238250732,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652]"
4,QTIP bitshift (gpu),2.0,0.02097859232304226,-2.654658100108452,0.007994225990842097,9.579000470694155e-05,"[0.03271484375,-0.003692626953125,-0.01373291015625,0.021484375,-0.01458740234375,0.004547119140625,0.00494384765625,0.031982421875,0.01068115234375,-0.001983642578125,-0.0142822265625,0.011962890625,-0.006103515625,-0.040771484375,-0.01513671875,-0.0390625,0.03564453125,-0.01385498046875,0.037841796875,0.021728515625,0.00897216796875,0.0108642578125,-0.01165771484375,-0.04541015625]","[-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506]"
4,Uniform scalar 2-bit (gpu),2.0,0.0005290697251136104,0.0,7.844700303394347e-05,4.2450003093108535e-05,"[0.03271484375,-0.003692626953125,-0.01373291015625,0.021484375,-0.01458740234375,0.004547119140625,0.00494384765625,0.031982421875,0.01068115234375,-0.001983642578125,-0.0142822265625,0.011962890625,-0.006103515625,-0.040771484375,-0.01513671875,-0.0390625,0.03564453125,-0.01385498046875,0.037841796875,0.021728515625,0.00897216796875,0.0108642578125,-0.01165771484375,-0.04541015625]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
5,QTIP bitshift (gpu),2.0,0.022029500967709243,-2.5634357417789975,0.007995157997356728,8.632200479041785e-05,"[-0.0054931640625,0.04345703125,0.0250244140625,0.0142822265625,-0.0255126953125,0.00095367431640625,-0.00738525390625,0.006988525390625,-0.0034637451171875,-0.048583984375,-0.0240478515625,0.006011962890625,0.00104522705078125,-0.0140380859375,-0.00061798095703125,0.0166015625,0.0036773681640625,-0.004852294921875,0.0830078125,0.017333984375,0.0225830078125,-0.02001953125,0.000965118408203125,0.005157470703125]","[-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506]"
5,Uniform scalar 2-bit (gpu),2.0,0.0006304672891322601,0.0,7.668399484828115e-05,4.270000499673188e-05,"[-0.0054931640625,0.04345703125,0.0250244140625,0.0142822265625,-0.0255126953125,0.00095367431640625,-0.00738525390625,0.006988525390625,-0.0034637451171875,-0.048583984375,-0.0240478515625,0.006011962890625,0.00104522705078125,-0.0140380859375,-0.00061798095703125,0.0166015625,0.0036773681640625,-0.004852294921875,0.0830078125,0.017333984375,0.0225830078125,-0.02001953125,0.000965118408203125,0.005157470703125]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
5,Leech Lattice Vector Quantization (gpu),2.0,0.15167065057298265,-3.955152352190719,0.000624784006504342,0.00014828900748398155,"[-0.0054931640625,0.04345703125,0.0250244140625,0.0142822265625,-0.0255126953125,0.00095367431640625,-0.00738525390625,0.006988525390625,-0.0034637451171875,-0.048583984375,-0.0240478515625,0.006011962890625,0.00104522705078125,-0.0140380859375,-0.00061798095703125,0.0166015625,0.0036773681640625,-0.004852294921875,0.0830078125,0.017333984375,0.0225830078125,-0.02001953125,0.000965118408203125,0.005157470703125]","[0.0,0.7071067690849304,0.7071067690849304,0.0,-0.7071067690849304,0.0,0.0,0.0,0.0,-0.7071067690849304,-0.7071067690849304,0.0,-0.7071067690849304,0.0,0.0,0.7071067690849304,0.0,0.0,0.7071067690849304,0.0,0.0,0.0,0.0,0.0]"
6,Leech Lattice Vector Quantization (gpu),2.0,0.14941867800023975,-3.799333615651454,0.0014423489919863641,0.00014287899830378592,"[-0.006683349609375,-0.0233154296875,-0.00177764892578125,-0.01220703125,-0.07275390625,0.02197265625,0.0008697509765625,0.0216064453125,0.0014801025390625,-0.0194091796875,0.040283203125,-0.051513671875,0.039794921875,0.01348876953125,0.01385498046875,-0.01080322265625,0.018310546875,-0.0181884765625,-0.020263671875,-0.01904296875,0.034423828125,0.033203125,0.01470947265625,0.029052734375]","[-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-1.0606601238250732,0.3535533845424652,-0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,0.3535533845424652,-0.3535533845424652,0.3535533845424652]"
6,QTIP bitshift (gpu),2.0,0.021386586775686094,-2.397042442755435,0.008428342000115663,9.353600034955889e-05,"[-0.006683349609375,-0.0233154296875,-0.00177764892578125,-0.01220703125,-0.07275390625,0.02197265625,0.0008697509765625,0.0216064453125,0.0014801025390625,-0.0194091796875,0.040283203125,-0.051513671875,0.039794921875,0.01348876953125,0.01385498046875,-0.01080322265625,0.018310546875,-0.0181884765625,-0.020263671875,-0.01904296875,0.034423828125,0.033203125,0.01470947265625,0.029052734375]","[-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506,-0.14245736598968506]"
