method,rate_bpd,mse_mean,mse_std,sqnr_bits_mean,sqnr_bits_std,quantize_seconds_mean,dequantize_seconds_mean
Uniform scalar 2-bit (gpu),2.0,0.0006157821437285173,0.0002909163012104597,0.0,0.0,7.794973207637667e-05,4.449593252502382e-05
QTIP bitshift (gpu),2.0,0.021297995696232714,0.0014204757852828705,-2.62232885326173,0.2991267135360961,0.008040872131823562,9.846403166496505e-05
Leech Lattice Vector Quantization (gpu),2.0,0.15187490065364223,0.003373222146234987,-4.040730307288699,0.3261587140480698,0.0008840630320870939,0.00014837933316205938
