method,rate_bpd,mse_mean,mse_std,sqnr_bits_mean,sqnr_bits_std,quantize_seconds_mean,dequantize_seconds_mean
Leech Lattice Vector Quantization (gpu),2.0,0.06824158130780278,0.00571959801954568,1.9391922023434538,0.06311766983356175,0.001337305034394376,0.00020482343388721346
Uniform scalar 2-bit (gpu),2.0,0.17225514082660645,0.06731138659833605,1.3197356885872173,0.2742442891817927,7.906113314675167e-05,4.4452633301261815e-05
QTIP bitshift (gpu),2.0,0.18383315308394127,0.05942211189166041,1.2585121221962472,0.2370192805355418,0.008168007233568158,8.861216629156843e-05
