block_id,method,rate_bpd,mse,sqnr_bits,quantize_seconds,dequantize_seconds,original_vector,dequantized_vector
3,Leech Lattice Vector Quantization (gpu),2.0,0.06891319939107428,1.9295379571227944,0.0016333080129697919,0.000524686009157449,"[-0.13189645111560822,0.602955162525177,-0.39568933844566345,1.2264657020568848,1.7060891389846802,0.8598963022232056,0.9660986661911011,-0.08093645423650742,-0.28263524174690247,-0.9455433487892151,-1.1236891746520996,2.891444206237793,0.02505175955593586,0.9935057163238525,1.301835060119629,0.9866539239883423,0.2655058205127716,-0.2723575830459595,-1.1099857091903687,-0.35629168152809143,0.4796234369277954,-0.5858257412910461,-0.44193872809410095,-0.9181362986564636]","[-0.3535533845424652,0.3535533845424652,-0.3535533845424652,1.0606601238250732,1.7677669525146484,1.0606601238250732,1.0606601238250732,0.3535533845424652,0.3535533845424652,-1.0606601238250732,-1.0606601238250732,2.4748737812042236,0.3535533845424652,1.0606601238250732,1.0606601238250732,1.0606601238250732,0.3535533845424652,0.3535533845424652,-1.0606601238250732,-0.3535533845424652,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-1.0606601238250732]"
3,QTIP bitshift (gpu),2.0,0.23375935320105978,1.0484520330344773,0.00812094499997329,8.64629982970655e-05,"[-0.13189645111560822,0.602955162525177,-0.39568933844566345,1.2264657020568848,1.7060891389846802,0.8598963022232056,0.9660986661911011,-0.08093645423650742,-0.28263524174690247,-0.9455433487892151,-1.1236891746520996,2.891444206237793,0.02505175955593586,0.9935057163238525,1.301835060119629,0.9866539239883423,0.2655058205127716,-0.2723575830459595,-1.1099857091903687,-0.35629168152809143,0.4796234369277954,-0.5858257412910461,-0.44193872809410095,-0.9181362986564636]","[0.034277018159627914,0.7181638479232788,-0.6930450797080994,1.8356715440750122,1.122338056564331,0.07350250333547592,0.9544740319252014,-0.2120971381664276,-0.3863752782344818,-1.0863057374954224,-0.6930450797080994,1.8356715440750122,1.159889578819275,0.13257279992103577,1.7390198707580566,0.9544740319252014,-0.19210973381996155,-0.33413028717041016,-0.9091304540634155,0.024481236934661865,0.5849315524101257,-0.9858254790306091,-0.33413028717041016,-0.9091304540634155]"
4,Leech Lattice Vector Quantization (gpu),2.0,0.06831412164160983,1.935836144036991,0.0014031159953447059,0.00014576400280930102,"[1.4222908020019531,-0.1605384200811386,-0.5970436930656433,0.9340416789054871,-0.6341930627822876,0.1976878046989441,0.21493573486804962,1.3904484510421753,0.4643673300743103,-0.08623964339494705,-0.6209254264831543,0.5200914144515991,-0.2653527557849884,-1.7725564241409302,-0.6580747961997986,-1.698257565498352,1.549660086631775,-0.6023507714271545,1.6451870203018188,0.9446557760238647,0.39006853103637695,0.4723278880119324,-0.5068237781524658,-1.9742244482040405]","[1.4142135381698608,0.0,-0.7071067690849304,0.7071067690849304,-0.7071067690849304,0.0,0.0,1.4142135381698608,0.7071067690849304,0.0,-0.7071067690849304,0.7071067690849304,0.0,-2.1213202476501465,-0.7071067690849304,-2.1213202476501465,1.4142135381698608,0.0,1.4142135381698608,0.7071067690849304,0.0,0.7071067690849304,0.0,-2.1213202476501465]"
4,QTIP bitshift (gpu),2.0,0.09722286827371716,1.6812802143841228,0.00815617099578958,8.69029900059104e-05,"[1.4222908020019531,-0.1605384200811386,-0.5970436930656433,0.9340416789054871,-0.6341930627822876,0.1976878046989441,0.21493573486804962,1.3904484510421753,0.4643673300743103,-0.08623964339494705,-0.6209254264831543,0.5200914144515991,-0.2653527557849884,-1.7725564241409302,-0.6580747961997986,-1.698257565498352,1.549660086631775,-0.6023507714271545,1.6451870203018188,0.9446557760238647,0.39006853103637695,0.4723278880119324,-0.5068237781524658,-1.9742244482040405]","[0.9091304540634155,-0.3134928345680237,-0.7964315414428711,0.6083298325538635,-0.9240337014198303,-0.07350250333547592,0.13257279992103577,1.6563239097595215,0.9091304540634155,-0.2929880917072296,-0.7698206901550293,0.7830567955970764,-0.5733522176742554,-2.1065540313720703,-0.505395233631134,-1.6563239097595215,0.7181638479232788,-0.6930450797080994,1.8356715440750122,1.122338056564331,0.044076092541217804,0.8099502921104431,-0.49430081248283386,-1.6563239097595215]"
4,Uniform scalar 2-bit (gpu),2.0,0.13201131968510274,1.4606331941132842,7.766600174363703e-05,4.3773005018010736e-05,"[1.4222908020019531,-0.1605384200811386,-0.5970436930656433,0.9340416789054871,-0.6341930627822876,0.1976878046989441,0.21493573486804962,1.3904484510421753,0.4643673300743103,-0.08623964339494705,-0.6209254264831543,0.5200914144515991,-0.2653527557849884,-1.7725564241409302,-0.6580747961997986,-1.698257565498352,1.549660086631775,-0.6023507714271545,1.6451870203018188,0.9446557760238647,0.39006853103637695,0.4723278880119324,-0.5068237781524658,-1.9742244482040405]","[1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,-2.0,-1.0,-2.0,1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,-2.0]"
5,QTIP bitshift (gpu),2.0,0.16327666563390833,1.3073047049478006,0.008040212997002527,9.99570038402453e-05,"[-0.2187717705965042,1.7307277917861938,0.9966269135475159,0.5688065886497498,-1.0160733461380005,0.03798120841383934,-0.2941264808177948,0.2783263027667999,-0.13794775307178497,-1.9349147081375122,-0.9577341675758362,0.23943354189395905,0.04162740707397461,-0.5590834021568298,-0.02461182326078415,0.6611769199371338,0.1464555412530899,-0.19324839115142822,3.305884599685669,0.6903464794158936,0.8993950486183167,-0.7973015308380127,0.03843698278069496,0.20540238916873932]","[0.1523558795452118,2.1065540313720703,1.4591230154037476,0.6083298325538635,-0.9391450881958008,-0.13257279992103577,-0.11284144967794418,-0.044076092541217804,0.25233614444732666,-2.335232973098755,-0.9391450881958008,-0.14245736598968506,-0.13257279992103577,-0.0931539535522461,0.07350250333547592,1.0181772708892822,-0.07350250333547592,0.1523558795452118,2.1065540313720703,1.4591230154037476,0.6083298325538635,-0.9391450881958008,-0.13257279992103577,-0.07350250333547592]"
5,Uniform scalar 2-bit (gpu),2.0,0.28725110850582153,0.8998077876592536,8.058099774643779e-05,4.3952997657470405e-05,"[-0.2187717705965042,1.7307277917861938,0.9966269135475159,0.5688065886497498,-1.0160733461380005,0.03798120841383934,-0.2941264808177948,0.2783263027667999,-0.13794775307178497,-1.9349147081375122,-0.9577341675758362,0.23943354189395905,0.04162740707397461,-0.5590834021568298,-0.02461182326078415,0.6611769199371338,0.1464555412530899,-0.19324839115142822,3.305884599685669,0.6903464794158936,0.8993950486183167,-0.7973015308380127,0.03843698278069496,0.20540238916873932]","[0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0]"
5,Leech Lattice Vector Quantization (gpu),2.0,0.06290285970903985,1.9953652618143385,0.0015815900114830583,0.0001490400027250871,"[-0.2187717705965042,1.7307277917861938,0.9966269135475159,0.5688065886497498,-1.0160733461380005,0.03798120841383934,-0.2941264808177948,0.2783263027667999,-0.13794775307178497,-1.9349147081375122,-0.9577341675758362,0.23943354189395905,0.04162740707397461,-0.5590834021568298,-0.02461182326078415,0.6611769199371338,0.1464555412530899,-0.19324839115142822,3.305884599685669,0.6903464794158936,0.8993950486183167,-0.7973015308380127,0.03843698278069496,0.20540238916873932]","[-0.3535533845424652,1.7677669525146484,1.0606601238250732,0.3535533845424652,-1.0606601238250732,-0.3535533845424652,-0.3535533845424652,0.3535533845424652,-0.3535533845424652,-1.7677669525146484,-1.0606601238250732,0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,1.0606601238250732,0.3535533845424652,0.3535533845424652,3.1819803714752197,1.0606601238250732,1.0606601238250732,-1.0606601238250732,0.3535533845424652,0.3535533845424652]"
6,Leech Lattice Vector Quantization (gpu),2.0,0.07097948947639011,1.9082270227821299,0.0010874529980355874,0.00014654500409960747,"[-0.2407160848379135,-0.8397583961486816,-0.06402608007192612,-0.4396640956401825,-2.6203980445861816,0.791395366191864,0.031326066702604294,0.7782054543495178,0.05330927297472954,-0.6990659236907959,1.4508914947509766,-1.8553824424743652,1.4333049058914185,0.48582881689071655,0.49901875853538513,-0.3891027271747589,0.6594961285591125,-0.6550995111465454,-0.7298424243927002,-0.6858760118484497,1.239852786064148,1.1958863735198975,0.529795229434967,1.046400547027588]","[-0.7071067690849304,-0.7071067690849304,-0.7071067690849304,-0.7071067690849304,-2.8284270763397217,0.7071067690849304,0.0,0.7071067690849304,0.0,-0.7071067690849304,1.4142135381698608,-1.4142135381698608,1.4142135381698608,0.7071067690849304,0.7071067690849304,0.0,0.7071067690849304,-0.7071067690849304,-0.7071067690849304,-0.7071067690849304,0.7071067690849304,1.4142135381698608,0.7071067690849304,0.7071067690849304]"
6,QTIP bitshift (gpu),2.0,0.1614664725132539,1.3153467594471488,0.008358078994206153,9.036000119522214e-05,"[-0.2407160848379135,-0.8397583961486816,-0.06402608007192612,-0.4396640956401825,-2.6203980445861816,0.791395366191864,0.031326066702604294,0.7782054543495178,0.05330927297472954,-0.6990659236907959,1.4508914947509766,-1.8553824424743652,1.4333049058914185,0.48582881689071655,0.49901875853538513,-0.3891027271747589,0.6594961285591125,-0.6550995111465454,-0.7298424243927002,-0.6858760118484497,1.239852786064148,1.1958863735198975,0.529795229434967,1.046400547027588]","[-0.3445020616054535,-0.9700305461883545,-0.23216964304447174,-0.49430081248283386,-1.6189000606536865,1.122338056564331,0.06368788331747055,0.9091304540634155,-0.32379430532455444,-0.8236187100410461,0.3863752782344818,-1.6189000606536865,1.0863057374954224,0.034277018159627914,0.6930450797080994,-0.756718099117279,0.8514286875724792,-0.3863752782344818,-1.0863057374954224,-0.6930450797080994,1.8356715440750122,1.122338056564331,0.06368788331747055,0.879913330078125]"
